"","Year","AVG SNAP Participation","AVG SNAP Benefit per Person","Total SNAP Benefits","Median Household Value","Population","Cereal Production","GDP_PC","Life Expectancy","Place"
"1",1984,20854,42.74,"10,696.10",22415,235825000,314749500,31107.55963,74.56341,"United States"
"2",1985,19899,44.99,"10,743.60",23618,237924000,347118216,32118.75942,74.56341,"United States"
"3",1986,19429,45.49,"10,605.20",24897,240133000,315331216,32925.22668,74.61463,"United States"
"4",1987,19113,45.78,"10,500.30",26061,242289000,280494047,33761.17884,74.76585,"United States"
"5",1988,18645,49.83,"11,149.10",27225,244499000,206528100,34853.48847,74.76585,"United States"
"6",1989,18806,51.71,"11,669.78",28906,246819000,284238058,35793.8965,75.01707,"United States"
"7",1990,20049,58.78,"14,142.79",29943,249623000,312410604,36059.30163,75.21463,"United States"
"8",1991,22625,63.78,"17,315.77",30126,252981000,280063391,35542.14111,75.36585,"United States"
"9",1992,25407,68.57,"20,905.68",30636,256514000,353025147,36287.32286,75.61707,"United States"
"10",1993,26987,67.95,"22,006.03",31241,259919000,259105342,36797.79765,75.41951,"United States"
"11",1994,27474,69,"22,748.58",32264,263126000,355934924,37813.75818,75.61951,"United States"
"12",1995,26619,71.27,"22,764.07",34076,266278000,277601210,38369.16184,75.62195,"United States"
"13",1996,25543,73.21,"22,440.11",35492,269394000,335780123,39356.0918,76.02683,"United States"
"14",1997,22858,71.27,"19,548.86",37005,272657000,336582161,40614.40561,76.42927,"United States"
"15",1998,19791,71.12,"16,890.49",38885,275854000,349425744,41942.70951,76.58049,"United States"
"16",1999,18183,72.27,"15,769.40",40696,279040000,335364364,43434.69267,76.58293,"United States"
"17",2000,17194,72.62,"14,983.32",41990,282162411,342631506,44726.9654,76.63659,"United States"
"18",2001,17318,74.81,"15,547.39",42228,284968955,324994634,44728.59748,76.83659,"United States"
"19",2002,19096,79.67,"18,256.20",42409,287625193,297143452,45087.36728,76.93659,"United States"
"20",2003,21250,83.94,"21,404.28",43318,290107933,348247631,45980.51458,77.03659,"United States"
"21",2004,23811,86.16,"24,618.89",44334,292805298,389023763,47287.59377,77.4878,"United States"
"22",2005,25628,92.89,"28,567.88",46326,295516599,366436346,48499.81237,77.4878,"United States"
"23",2006,26549,94.75,"30,187.35",48201,298379912,338336800,49405.7673,77.6878,"United States"
"24",2007,26316,96.18,"30,373.27",50233,301231207,415130860,49856.28149,77.9878,"United States"
"25",2008,28223,102.19,"34,608.40",50303,304093966,402399936,49319.47886,78.03902,"United States"
"26",2009,33490,125.31,"50,359.92",49777,306771529,418666166,47648.81325,78.39024,"United States"
"27",2010,40302,133.79,"64,702.16",49276,309321666,401126330,48467.51578,78.54146,"United States"
"28",2011,44709,133.85,"71,810.92",50054,311556874,385545256,48866.05328,78.64146,"United States"
"29",2012,46609,133.41,"74,619.34",51017,313830990,356210124,49603.25347,78.74146,"United States"
"30",2013,47636,133.07,"76,066.32",53585,315993715,434308450,50171.23713,78.74146,"United States"
"31",2014,46664,125.01,"69,998.84",53657,318301008,442849090,51065.68269,78.84146,"United States"
"32",2015,45767,126.81,"69,645.14",56516,320635163,431870788,52168.12624,78.69024,"United States"
"33",2016,44220,125.4,"66,539.27",59039,322941311,503465267,52643.91784,78.53902,"United States"
"34",2017,42317,125.47,"63,711.05",61136,324985539,466847085,53552.48501,78.53902,"United States"
"35",2018,40776,124.5,"60,916.85",63179,326687501,467951140,54832.97823,78.63902,"United States"
"36",2019,35703,129.83,"55,621.88",68703,328239523,NA,55753.14437,78.7878,"United States"
